[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.004970s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.003223s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.033375s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --START--
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.020976s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.021118s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.036656s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.036793s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.002413s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.012598s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.002185s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.002195s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.019646s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --START--
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.020729s ]
[ 2012-06-06T00:17:42+08:00 ] /admin.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.020874s ]
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.002592s ]
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002727s ]
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.002849s ]
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.003032s ]
[ 2012-06-06T00:17:43+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.006136s ]
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.002251s ]
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.002407s ]
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.001783s ]
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.001383s ]
[ 2012-06-06T00:18:01+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.003288s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.817369s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.110424s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1338913084 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.004080s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.014864s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.015062s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | NOTIC: [8] Undefined variable: title fdb8b4c06fba2ac11ecc127c153c19ce.php 第 88 行.
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.023908s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.024071s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.004950s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.003332s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.002902s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.003260s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.014869s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.021991s ]
[ 2012-06-06T00:18:04+08:00 ] /admin.php/Home/login.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.022149s ]
[ 2012-06-06T00:18:05+08:00 ] /admin.php/js/jquery-1.4.1.js | ERR: (ThinkException) 无法加载模块js
[ 2012-06-06T00:18:10+08:00 ] /admin.php/Notice/noticeList | DEBUG: Tag[ route_check ] --START--
[ 2012-06-06T00:18:10+08:00 ] /admin.php/Notice/noticeList | DEBUG: Run CheckRoute Behavior [ RunTime:0.000887s ]
