[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.020100s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.020333s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.009804s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.009458s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.019395s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Home/index | NOTIC: [8] Undefined index: authId HomeAction.class.php 第 5 行.
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000434s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000527s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000282s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000206s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000554s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.010293s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.010399s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.021583s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.021701s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.000752s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.008115s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000671s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000853s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.010587s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.010205s ]
[ 2012-09-16T11:22:06+08:00 ] /admin.php/Index/index.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.010347s ]
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckRoute Behavior [ RunTime:0.000911s ]
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001058s ]
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000411s ]
[ 2012-09-16T11:22:07+08:00 ] /admin.php/Index/verify/ | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001123s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Run CheckRoute Behavior [ RunTime:0.000604s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000764s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000666s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000447s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001251s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | SQL: SHOW COLUMNS FROM `qilihai_admin` [ RunTime:0.000649s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | SQL: SELECT * FROM `qilihai_admin` WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) LIMIT 1   [ RunTime:0.018656s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/User/login | SQL: UPDATE `qilihai_admin` SET `last_login_time`=1347765734 WHERE ( `username` = 'gg' ) AND ( `password` = '73c18c59a39b18382081ec00bb456d43' ) [ RunTime:0.017563s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000406s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000487s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000247s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000182s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000491s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000152s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000193s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ParseTemplate Behavior [ RunTime:0.017920s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.018073s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ContentReplace Behavior [ RunTime:0.000464s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run TokenBuild Behavior [ RunTime:0.000463s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000196s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000469s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001837s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.002415s ]
[ 2012-09-16T11:22:14+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.002511s ]
[ 2012-09-16T16:32:17+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T16:32:17+08:00 ] /admin.php/Home/index.shtml | DEBUG: Run CheckRoute Behavior [ RunTime:0.000902s ]
[ 2012-09-16T16:32:17+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001031s ]
[ 2012-09-16T16:32:17+08:00 ] /admin.php/Home/index.shtml | DEBUG: Tag[ app_begin ] --START--
