[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000320s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000213s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000669s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000617s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000702s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run ParseTemplate Behavior [ RunTime:0.001637s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.001730s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run ContentReplace Behavior [ RunTime:0.000359s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run TokenBuild Behavior [ RunTime:0.000506s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000211s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000481s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001798s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000478s ]
[ 2012-09-16T11:37:47+08:00 ] /index++.php | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000563s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --START--
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckRoute Behavior [ RunTime:0.001013s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.001166s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --START--
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run ReadHtmlCache Behavior [ RunTime:0.000594s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000431s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.001161s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | SQL: SHOW COLUMNS FROM `notice` [ RunTime:0.000726s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 1 ORDER BY create_time LIMIT 10   [ RunTime:0.000244s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | SQL: SELECT * FROM `notice` WHERE type = 2 ORDER BY create_time LIMIT 10   [ RunTime:0.000191s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --START--
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run LocationTemplate Behavior [ RunTime:0.001894s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.002002s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --START--
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run ParseTemplate Behavior [ RunTime:0.012208s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.012317s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --START--
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run ContentReplace Behavior [ RunTime:0.000422s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run TokenBuild Behavior [ RunTime:0.000466s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000192s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000493s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_filter ] --END-- [ RunTime:0.001861s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --START--
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Run ShowPageTrace Behavior [ RunTime:0.000219s ]
[ 2012-09-16T11:37:50+08:00 ] /index++.php/Notice/index | DEBUG: Tag[ view_end ] --END-- [ RunTime:0.000260s ]
